100

H 5.67403 0.541338 0.739598
H 8.55141 5.33169 4.96781
H 7.93209 4.5382 1.64488
H 8.08061 2.8428 8.08977
H 2.08091 0.355042 3.64053
H 4.97622 1.88517 0.354938
H 7.63407 5.81851 1.54333
H 8.05029 7.56918 3.44614
H 2.15673 8.26039 6.20338
H 7.96813 5.23981 7.11721
H 4.52955 3.74143 1.7459
H 0.0919799 6.58649 6.39181
H 7.76825 1.87706 6.34365
H 0.552734 6.36031 7.03733
H 1.451 1.52032 2.16783
H 3.89375 3.58585 5.48856
H 8.55835 8.15999 2.44726
H 2.11234 8.62249 9.6046
H 6.31277 0.584536 3.38164
H 2.32081 6.54632 5.40914
H 5.35384 2.54082 5.77159
H 2.59184 0.609963 5.79746
H 4.93421 6.57259 2.41319
H 0.199558 3.8811 5.47919
H 5.64251 0.971345 2.5349
H 0.886298 9.22523 3.9111
H 9.61219 0.103712 8.34668
H 0.674893 0.615612 4.07222
H 8.05143 6.2429 7.31411
H 6.1889 0.838096 5.99133
H 1.50112 5.331 5.21444
H 3.99032 3.82488 6.79065
H 9.4513 4.92868 7.97497
H 0.638062 7.29606 0.684478
H 3.17899 9.81114 5.38138
H 1.22831 1.94959 4.48443
H 3.14944 2.81698 5.60422
100

H 5.6739 0.541541 0.739615
H 4.1247 2.42335 0.453399
H 8.29529 0.256253 6.3161
H 8.75262 0.346296 5.52588
H 8.91476 3.85539 2.60857
H 4.47139 2.69782 5.28418
H 5.78562 8.35586 5.24753
H 3.82575 4.93582 9.89047
H 3.17155 8.00357 0.651262
H 9.43229 9.98282 1.48844
H 5.55154 0.238553 9.09725
H 7.87817 0.017127 2.37975
H 1.3518 3.03006 0.484063
H 2.56558 5.15904 6.19222
H 8.0225 6.56806 0.0670047
H 2.3425 4.01844 3.69305
H 8.84425 2.56479 7.45635
H 0.977902 4.20092 3.22345
H 7.68187 8.23155 9.67531
H 4.42638 3.49411 8.69223
H 4.36384 4.63658 5.78564
H 2.22257 6.09507 1.4181
H 0.091765 7.63128 6.52149
H 9.3005 0.304231 3.63476
H 9.95948 9.74646 6.35822
H 0.580039 6.08611 4.39308
H 9.84972 9.98515 2.21535
H 7.33649 1.28235 1.17974
H 4.8532 2.64758 7.99458
H 0.62778 3.75135 8.53254
H 5.60929 2.31487 0.837238
H 3.46815 3.91456 3.57921
H 3.20847 1.67022 8.92214
H 4.69186 0.0550837 1.38747
H 9.83411 8.91348 5.83384
H 9.66122 4.1366 8.2813
H 3.58306 6.99238 0.823435
H 4.58316 4.36952 2.97366
H 2.41608 2.59619 0.65308
H 3.38271 0.869331 3.43735
H 3.58718 6.36332 9.18011
H 6.13269 4.91475 9.62829
H 0.475091 7.8103 5.65118
H 2.61962 0.00758494 1.66211
H 1.21052 8.87459 3.17967
H 4.52657 3.09912 3.13075
H 0.549103 9.31737 1.5935
H 7.34073 6.71822 8.20553
H 4.0942 5.17922 5.13625
H 3.04393 4.26367 8.05903
H 2.45034 2.65416 1.91169
H 0.909112 1.03332 4.48734
H 4.36063 5.25423 4.28034
H 5.96517 6.22496 8.83544
